page,index,会社名,勤務地,給与
14.0,21.0,株式会社かね徳 | まもなく創業100年！安定基盤の食品加工メーカー ※残業少なめ,【U・Iターン歓迎！転勤なしの札幌勤務限定採用！】 北海道札幌市中央区北4条西13丁目1−2 RI…,月給22万円〜30万円（一律手当含む） ＋ 諸手当 ＋ 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当…
14.0,22.0,株式会社カルディオ,【転勤なし】神戸市中央区 兵庫県神戸市中央区港島南町６−３−７クリエイティブラボ神戸３階 ~アクセ…,"月給220,000円〜320,000円"
14.0,23.0,株式会社ニチコミ | 全国281地区の老人クラブ広報紙を発行★シニア層を応援する企業,【転勤なし】 ＊東京支社：東京都品川区大井1-24-5 大井町センタービル7階 ⇒各線「大井町」駅…,"月給21万9,720円（一律手当含む）＋ 諸手当 + 賞与年2回 ※業績・能力等を考慮の上、優遇します。 ※上記…"
14.0,24.0,株式会社かね徳 | まもなく創業100年！安定基盤の食品加工メーカー ※定着率抜群,【転勤なし／U・Iターン歓迎します】 篠山工場／兵庫県丹波篠山市泉字脇谷2-10 泉工業団地 ※マ…,月給20万円〜30万円（一律手当含む） ＋ 諸手当 ＋ 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当…
14.0,25.0,株式会社富澤商店 | （TOMIZ）｜創業102年｜お菓子・パン作りの材料器具専門店,全国各地の「TOMIZ」店舗 ※地域限定制度あり 店長未経験の方 ■東京都／千代田区、中央区、新宿…,■店長未経験の方 月給22万円以上（店長昇格後：月給24万円以上） ※上記金額には固定残業代（30時間分／…
14.0,26.0,"ヤマト住建株式会社 | 11期連続、""ハウス・オブ・ザ・イヤー・イン・エナジー""を受賞！",【配属は希望を考慮！群馬、埼玉、千葉、東京、神奈川、愛知、滋賀、京都、大阪、兵庫、奈良、岡山で募集…,月給27万円〜50万円（一律手当含む） 別途、成果に応じたインセンティブあり！ ※経験や能力などを考慮…
14.0,27.0,株式会社ケミカル工事 | 土木構造物・建築物維持管理のプロ集団！※WEB面接も可能です,【転勤なし／U・Iターン歓迎します】 東日本事業所／千葉県市川市二俣新町22-1 ⇒最寄駅：JR京…,月給22万円〜38万円（一律手当含む） +各種手当 ＋賞与年2回 ※経験やスキルを考慮して決定いたします …
14.0,28.0,株式会社内藤建築事務所 | ～医療・福祉施設の設計では全国トップクラスの実績～,＜名古屋事務所＞ 愛知県名古屋市中区錦1丁目7番32号　名古屋SIビル5階 ※転勤なし,"月給254,000円〜350,000円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※上記金額には、固定残…"
14.0,29.0,四国工販株式会社 | 建物の快適な環境づくりを支える！賞与年4.5ヵ月分！,◆関西支店 兵庫県神戸市中央区江戸町98-1 東町・江戸町ビル2-1号 【交通アクセス】 各線「三…,◆月給19.5万円〜25万円（一律手当含む） ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いた…
14.0,30.0,佐藤鉄工株式会社 | 1世紀以上に渡り橋梁や水門など公共案件を中心にインフラに貢献,★エリア内での直行直帰 ★原則転勤なし ★配属先はお住まいや希望を考慮します 【北陸エリア】 ☆現…,◆月給25万円以上 ※土木施工管理技士の有資格者及び施工管理経験者は特に優遇いたします ※経験・能力等…
14.0,31.0,株式会社エス・エム・エス | 東証一部上場◆16期連続増収増益◆業界最大級の人材サービス展開,全国エリア募集！本社または事務所への配属 【在宅勤務実施中です。】 ※希望を最大限考慮 ◆首都圏…,"【東京、埼玉、神奈川、千葉、京都、大阪、兵庫】 月給36万7,334円〜 ※前職の給与を最大限考慮して決定…"
14.0,32.0,相生市農業協同組合 | 地域の「農業」とみなさまの「生活」を支える存在として,◆兵庫県相生市大石町19番1号 ※転勤無し、U・Iターン歓迎,◆月給：25万円〜30万円＋諸手当＋賞与3回 ※経験や能力を考慮のうえ、決定いたします。 ※推進実績によ…
14.0,33.0,株式会社エルザクライス | 【エルザ動物病院グループ】賞与年4回／完全週休2日制／シフト制,兵庫県下7病院（姫路市、たつの市、加西市、加古川市、神戸市北区） 家から通える範囲で１〜２病院を２…,"月給200,000円〜295,000円＋諸手当 ※ご経験やスキル、年齢を考慮の上決定 ※残業代は全額別途支給 ※試…"
14.0,34.0,近畿中央ヤクルト販売株式会社 | 東証一部上場・株式会社ヤクルト本社のグループ会社,【北摂営業所（茨木）配属】 ※マイカー通勤可（条件あり） ◇北摂営業所： 大阪府茨木市美沢町15-…,"◇月給20万6,500円〜24万円＋諸手当＋賞与年2回 ※経験やスキルに応じて決定いたします ※固定残業代（3…"
14.0,35.0,株式会社西村組 | <県内トップクラスの実績>北陸新幹線の高架橋やトンネル等も担当,【 マイカー通勤可（駐車場あり）】 本社：福井県吉田郡永平寺町下浄法寺第2号8番地,月給20万円〜35万円 ※経験、能力、スキルなどを考慮の上、決定いたします。
14.0,36.0,エリエールフーズ株式会社 | 関西・中四国エリアで飲食・サービスエリア事業を展開,【イオンモール姫路リバーシティー店】 兵庫県姫路市飾磨区細江520 イオンモール姫路リバーシティー…,"【月給】213,500円〜266,900円＋諸手当 試用期間（2ヶ月〜6ヶ月）は時給956円〜1,200円"
14.0,37.0,株式会社ミツワテック,本社：兵庫県川西市久代1丁目26-10 ※入社後3年は転勤なく、その後も転居を伴う転勤はありません。,月給20.5万円〜33万円
14.0,38.0,電機資材株式会社 | ◆日本製鉄グループ◆世界最高水準の電磁鋼板を生産する専門商社,★マイカー通勤OK ＜袖ケ浦工場＞ 千葉県袖ケ浦市中袖３１ ＜交通アクセス＞ ＪＲ内房線「長浦駅」…,月給20万8100円〜42万円＋賞与年2回（昨年度実績3.7カ月分） ※残業時間に応じた残業代を全額支給いたし…
14.0,39.0,株式会社タカラレーベン | ◆完全週休2日制／年間休日120日／各種手当充実／賞与年2回,勤務地は希望を考慮の上、全国、各地のモデルルームに常駐勤務（直行直帰OK）。 ★電車通勤が難しいモ…,"月給230,000円〜350,000円 ※試用期間3ヶ月（同条件） ※経験・能力を考慮の上、当社規定により決定いた…"
14.0,40.0,株式会社エース・ジャパン | ■設立以来18年連続黒字経営■国内外の大手製薬メーカーと取引,【U・Iターン歓迎】 ■山形本社： 山形県東根市大字東根甲5850-1,月給22万円〜30万円＋各種手当 ※経験・スキルを考慮し、当社規定により決定いたします。 ※試用期間6ヶ…
14.0,41.0,近畿防蝕株式会社 | 神戸製鋼等と取引／金属メッキ加工・表面処理加工のプロ集団,☆U・Iターン歓迎 ☆転勤なし ☆車・バイク通勤OK（工場内駐車場無料） 【本社工場】 三木市別所…,◆月給／25〜35万円 ※年齢・経験・スキルを十分考慮の上、当社規定により決定いたします ※試用期間3ヶ…
14.0,42.0,"株式会社神戸デジタル・ラボ | エンジニアファーストの会社だからこそ叶う""働きやすさ""あり！",【転勤なし＆U・Iターン歓迎】 兵庫県神戸市中央区京町72番　新クレセントビル …→ 各線「三宮駅…,"月給300,000円〜＋諸手当 ※経験・能力などを考慮し、決定します ※残業代は1分単位で支給します ※試用…"
14.0,43.0,石塚硝子株式会社 | 創業は文政2年/200年の歴史を誇る東証・名証一部上場企業,兵庫県神崎郡福崎町西治498 ⇒JR「溝口駅」より車で5分 ※石塚王子ペーパーパッケージング株式会…,"月給210,000円〜 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3か月間あり。その期…"
14.0,44.0,株式会社森口商店 | 【創業70年超】老舗木材専門商社 ◎残業少なめ／土日祝休み,【魚崎作業所】 〒658-0024 神戸市東灘区魚崎浜町43ー2　JFE建材(株)内 ※転勤は当面…,月給：18万円〜 ※給与は会社規定に基づき決定いたします。 ※残業手当は別途支給します。 ※定期的な昇…
14.0,45.0,"ヤマト住建株式会社 | 11期連続、""ハウス・オブ・ザ・イヤー・イン・エナジー""を受賞！",【配属は希望を考慮！群馬、埼玉、千葉、東京、神奈川、愛知、滋賀、京都、大阪、兵庫、奈良、岡山で募集…,月給23万円〜33万2000円（一律手当含む） ※経験や能力などを考慮し、優遇いたします ※試用期間中（3ヶ…
14.0,46.0,ショーボンド建設株式会社 | 【東証一部上場】ショーボンドホールディングス株式会社グループ,※初任地は、可能な限りご希望を考慮いたします。 ■北海道札幌市白石区東札幌4条2-1-6 ■岩手県…,月給24万円以上 ※あなたの経験・能力を考慮し、優遇いたします ※試用期間6ヶ月あり（試用期間中の給与…
14.0,47.0,神戸日野自動車株式会社,兵庫県内の以下の営業所に配属いたします。 ※勤務地の希望を考慮して配属を決定いたします。 ※ＵＩタ…,"大卒：月給200,000円〜 専卒：月給190,000円〜 高卒：月給185,000円〜 ※経験・年齢を考慮の上、当社規…"
14.0,48.0,独立行政法人国際協力機構 | 世界の社会課題に挑むJICA,国際協力機構本部ビル 東京都千代田区二番町5-25二番町センタービル 出張は基本的にはありません。…,月給20〜30万円（職務経験を基に決定）
14.0,49.0,株式会社リクルートスタッフィング | 安定企業で働ける★応募時に志望理由&自己PRがなくても大丈夫♪,＜転勤なし！＞ ◆兵庫県の企業 ※自宅の最寄駅を考慮して配属いたします。 また、転居を伴う異動はあ…,兵庫県：月給18万2千円〜＋賞与年2回＋残業代 ※昇給あり ※配属前研修期間中(3日間)は有期雇用となり、…
14.0,50.0,日本管財株式会社 | 中部本部【東証一部上場】/ 残業少なめ/長期安定で働ける◎,★愛知県限定募集★ ★その他にもオフィスビル・学校など管理物件多数★ ★転勤なし！！ 【勤務地の例…,"月給200,000円以上 ＋ 諸手当 ◆当社規定により優遇いたします。"
15.0,1.0,マックスバリュ西日本株式会社 | ★マイナビ転職フェア島根(７月２５日)に出展します★,【マイカー通勤OK／U・Iターン歓迎】 島根県or中国・四国or兵庫県の各店舗に配属します。 ※2…,四大卒：月給19万7000円〜 ＋ 諸手当(残業/通勤/家族/役職) 短大卒：月給17万5000円〜 ＋ 諸手当(残業/通…
15.0,2.0,関西熱化学株式会社 | 三菱ケミカルホールディングスグループの安定企業,【加古川工場】 兵庫県加古川市金沢町7番地 ※通勤バスあり。 ※車やバイク通勤可(条件あり),月給17万1778円〜20万591円+各種手当+賞与年2回 ※経験スキル・年齢に応じて変動します。 ※試用期間6ヶ…
15.0,3.0,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,◆兵庫県内の各拠点 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎 ※各事業所の詳しい住所…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を…"
15.0,4.0,株式会社ワコールキャリアサービス | ワコールHD(東証一部上場)100%出資★20～40代中心に活躍中,【勤務地多数】 関東・関西エリアの各就業先 ★希望勤務地を選択いただけます。 ★テレワーク・時差出…,月給25〜60万円 ※前職の給与水準、仕事内容に応じて異なります。 初年度の想定年収350〜800万円ほど
15.0,5.0,株式会社グリーンテック | 年齢・性別不問◎ 未経験で入社した仲間が多数活躍中！,あなたの居住エリアや希望に応じて尼崎営業所・姫路営業所のどちらかに配属いたします。 尼崎営業所 〒…,"月給16万6,000円〜22万1,200円＋諸手当 ※能力などを考慮し優遇します 【モデル月収例】 1年目：月収25…"
15.0,6.0,MPアグロ株式会社 | 【動物用の医薬品商社として業界トップクラスのシェア！】,＼北海道・青森・兵庫・鳥取からお選びいただけます！／ 【釧路支店】北海道釧路市鳥取大通4丁目18-…,"月給208,140円〜265,940円　＋各種手当 ※能力・経験などを考慮し、決定いたします。 ※試用期間3ヶ月あ…"
15.0,7.0,戸田道路株式会社 | 【東証一部上場戸田建設グループ】官公庁等の公共事業を手がける,全国に拠点があり、下記各管轄地域の作業所に勤務していただきます。 ★本人の希望及び事情を考慮した上…,＜経験者＞月給28万円以上 ＜未経験者＞月給23万円以上（大卒） 月給21万円以上（高卒） + 諸手当 + 賞…
15.0,8.0,星光ビル管理株式会社 | 職業訓練実績が厚生労働大臣賞を受賞／定着率90％～,■神戸支店／兵庫県神戸市中央区東川崎町1丁目1番3号 神戸クリスタルタワービル　13階 …JR「神…,月給23万円〜32万円（一律手当含む）＋諸手当＋賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定…
15.0,9.0,株式会社アルトナー | 設立59年目／東証一部上場／業界トップクラスの技術力が自慢,横浜・宇都宮・大阪・名古屋の各事業所管内のプロジェクト先にて勤務していただきます。 勤務地は、希望…,"月給／23万9,000円以上＋各種手当＋賞与（年2回） 別途残業代支給。サービス残業はありません。 ご経験…"
15.0,10.0,株式会社神戸インテリアセンター | 【創業108年】快適な住空間を創造する内装仕上げ工事を展開,【三ノ宮駅より徒歩10分／U・Iターン歓迎】 兵庫県神戸市中央区旭通2丁目7-8 インテリアビル2F,月給22万円〜40万円＋諸手当＋賞与 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします
15.0,11.0,晴耕雨耕株式会社 | 阪神エリアで地域密着型のサービスを展開し、安定経営を実現,◎転勤なし ◎U・Iターン歓迎します ◆本社 兵庫県尼崎市南武庫之荘3丁目30番5号,月給22万4000円〜38万円 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします ※試用期…
15.0,12.0,株式会社ニチコミ | 全国276地区の老人クラブ広報紙を発行★シニア層を応援する企業,福岡支店 福岡県福岡市博多区博多駅東1-13-6 いちご博多イーストビル7階 ⇒各線「博多」駅から…,月給／20万〜30万円（一律手当含む）＋ 諸手当 + 賞与年2回 ※業績・能力等を考慮の上、優遇します。 ※…
15.0,13.0,フルタニ産業株式会社 | 完全週休2日制・土日祝休み／健康経営優良法人2021に認定！,《大阪本社（大阪市西区） ・ 東京オフィス（港区）・名古屋オフィス（中区）》 ※希望がない限り、転…,◆月給 20万円〜38万円 ※時間外手当は別途支給いたします。 ※経験・能力・年齢を考慮の上、当社規定に…
15.0,14.0,株式会社久原本家 | 創業128年！メディアからの注目を集める『 老舗食品メーカー 』,希望勤務地／U・Iターン歓迎 関東・関西・中国・東北・中部・九州の希望勤務地へ配属 関東 東京ミッ…,月給20万円〜 + 諸手当 【 想定年収 】 ◎関東エリア：年収370万円〜450万円 ◎関西エリア：年収350万円…
15.0,15.0,インフォメーションサービスフォース株式会社 | 大阪オフィス事業拡大,大阪府を中心とする、 近畿圏（京都府・兵庫県など）のプロジェクト先 ※勤務地はご希望を考慮します…,月給20万〜50万円＋諸手当 ※年齢・経験・スキルを十分考慮の上 当社規定により優遇いたします
15.0,16.0,株式会社ニチコミ | 全国243地区の老人クラブ広報紙を発行★シニア層を応援する企業,【転勤なし】 神戸本社（神戸市）、静岡支店（静岡市）、福岡支店（福岡県）のいずれか。 ※希望を考慮…,"月給／20万円〜25万5,000円 （一律手当含む）＋ 諸手当 + 賞与年2回 ※業績・能力等を考慮の上、優遇しま…"
15.0,17.0,インフォメーションサービスフォース株式会社 | 社員の思い・成長・働きやすさを第一優先,大阪府を中心とする、 近畿圏（京都府・兵庫県など）のプロジェクト先 ※勤務地はご希望を考慮します…,月給20万〜50万円＋諸手当 ※年齢・経験・スキルを十分考慮の上 当社規定により優遇いたします
15.0,18.0,株式会社近畿道路資材 | ◎WEB面接可◎―イノベーションで地球を守る―総合環境整備企業,【転勤なし／U・Iターン歓迎】 本社：兵庫県尼崎市御園町24 尼崎第一ビル202 ★今年の2月に移…,"月給：31万円〜 ※上記には、固定残業代（40時間分・5万6,000円/月）と 　一律手当（4万6,000円/月）を含…"
15.0,19.0,タカヤマ土木道路株式会社 | 学歴・経験年数・資格有無は一切不問！残業少なめ◎,兵庫県尼崎市道意町5丁目30-30 ★駅から徒歩5分以内 ★マイカー通勤もOK〈駐車場あり〉,月給25万円〜65万円 ※経験・資格有無を考慮して、当社規定に基づき決定します。 ※試用期間2カ月（試用…
15.0,20.0,神戸衡機株式会社 | 【モデル年収⇒20代後半：約500万円】※残業少なめ ※ノルマなし,【神戸・広島・岡山での募集！配属は希望を考慮します】 ※転勤なし ※U・Iターン歓迎 神戸 兵庫県…,神戸 月給24万円〜 ＋ 諸手当 ＋ 賞与年2回 広島・岡山 月給22万5000円〜 ＋ 諸手当 ＋ 賞与年2回 ※年…
15.0,21.0,株式会社長谷工コミュニティ | 「作ってきたから分かるんだ！」CMでお馴染みの長谷工グループ,＜札幌・仙台・東京・神奈川・埼玉・千葉・名古屋・静岡・京都・大阪・神戸、いずれかで勤務／転勤なし／…,月給：23万円〜35万円＋残業手当＋賞与 ※前職・経験等を考慮し、当社規定により決定いたします。 ※試…
15.0,22.0,日鉄環境エネルギーソリューション株式会社 | 日鉄環境プラントソリューションズ株式会社より社名変更,本社／福岡県北九州市戸畑区大字中原46-59 【事業所】 北海道 東北／秋田、岩手、新潟、福島 関…,"月給20万5,000円〜26万2,000円（一律職務手当含む） ※年齢・経験・能力を考慮の上、当社規定により決定…"
